Date,Date Value,Open,High,Low,Close,Volume,Adj Close
2016-11-02,42676,37.134,37.765,36.291,36.625,0,36.625
2016-11-01,42675,37.844,37.844,37.01,37.27,200,37.27
2016-10-31,42674,38.093,38.238,37.829,37.829,0,37.829
2016-10-28,42671,38.197,38.413,37.945,37.945,100,37.945
2016-10-27,42670,38.509,38.603,38.432,38.432,0,38.432
2016-10-26,42669,38.889,38.889,38.47,38.47,0,38.47
2016-10-25,42668,39.072,39.211,39.025,39.06,0,39.06
2016-10-24,42667,38.72,39.055,38.664,39.055,0,39.055
2016-10-21,42664,38.6,38.69,38.388,38.69,0,38.69
2016-10-20,42663,38.95,38.95,38.665,38.76,0,38.76
2016-10-19,42662,38.337,38.96,38.337,38.789,0,38.789
2016-10-18,42661,37.972,38.728,37.972,38.125,0,38.125
2016-10-17,42660,37.42,37.892,37.42,37.892,0,37.892
2016-10-14,42657,37.624,37.887,37.624,37.745,0,37.745
2016-10-13,42656,38.087,38.087,37.505,37.695,0,37.695
2016-10-12,42655,38.668,38.668,38.296,38.33,0,38.33
2016-10-11,42654,39.585,39.585,38.535,38.535,200,38.535
2016-10-10,42653,38.416,39.318,38.315,39.318,200,39.318
2016-10-07,42650,38.727,38.91,38.65,38.65,0,38.65
2016-10-06,42649,38.908,39.105,38.825,39.105,0,39.105
2016-10-05,42648,38.406,38.995,38.406,38.82,0,38.82
2016-10-04,42647,38.428,38.717,38.428,38.43,0,38.43
2016-10-03,42646,38.355,38.355,38.355,38.355,0,38.355
2016-09-30,42643,37.749,38.375,37.749,38.355,100,38.355
2016-09-29,42642,38.718,38.776,37.871,37.952,0,37.952
2016-09-28,42641,38.532,38.866,38.438,38.66,0,38.66
2016-09-27,42640,37.682,38.525,37.557,38.525,0,38.525
2016-09-26,42639,37.901,37.901,37.331,37.331,800,37.331
2016-09-23,42636,38.459,38.89,38.315,38.479,200,38.479
2016-09-22,42635,39.231,40.055,39.041,39.265,200,39.265
2016-09-21,42634,38.46,39.305,38.432,39.305,0,39.305
2016-09-20,42633,38.622,38.653,38.135,38.33,0,38.33
2016-09-19,42632,39.11,39.11,38.521,38.64,0,38.64
2016-09-16,42629,38.914,39.19,38.871,39.19,0,39.19
2016-09-15,42628,38.46,38.895,38.46,38.895,0,38.895
2016-09-14,42627,38.327,38.523,38.287,38.427,0,38.427
2016-09-13,42626,38.393,38.425,37.949,38.25,0,38.25
2016-09-12,42625,37.57,38.685,37.417,38.685,1200,38.685
2016-09-09,42622,39.153,39.161,38.265,38.38,0,38.38
2016-09-08,42621,39.254,39.429,38.725,39.37,0,39.37
2016-09-07,42620,39.467,39.918,39.229,39.34,200,39.34
2016-09-06,42619,38.61,39.541,38.61,39.541,0,39.541
2016-09-05,42618,38.385,38.727,38.385,38.59,0,38.59
2016-09-02,42615,38.18,38.73,38.18,38.73,0,38.73
2016-09-01,42614,38.291,38.53,38.16,38.16,500,38.16
2016-08-31,42613,38.095,38.238,38.095,38.225,0,38.225
2016-08-30,42612,37.703,38.224,37.485,38.13,1500,38.13
2016-08-29,42611,37.594,37.787,37.588,37.775,100,37.775
2016-08-26,42608,37.081,37.558,37.057,37.558,0,37.558
2016-08-25,42607,37.083,37.191,36.91,37.185,0,37.185
2016-08-24,42606,37.502,37.763,37.08,37.08,200,37.08
2016-08-23,42605,37.407,37.79,37.353,37.79,0,37.79
2016-08-22,42604,37.966,37.966,37.383,37.505,100,37.505
2016-08-19,42601,37.702,37.926,37.702,37.85,2000,37.85
2016-08-18,42600,37.594,37.823,37.292,37.73,0,37.73
2016-08-17,42599,37.599,37.755,37.588,37.755,0,37.755
2016-08-16,42598,37.845,37.845,37.23,37.666,0,37.666
2016-08-15,42597,38.417,38.45,38.052,38.052,1500,38.052
2016-08-12,42594,36.933,38.39,36.921,38.39,200,38.39
2016-08-11,42593,35.772,37.335,35.752,37.17,1500,37.17
2016-08-10,42592,35.061,35.651,35.061,35.452,0,35.452
2016-08-09,42591,35.269,36.05,35.087,35.134,600,35.134
2016-08-08,42590,35.016,35.27,35.016,35.248,0,35.248
2016-08-05,42587,34.769,35.285,34.769,35.14,200,35.14
2016-08-04,42586,34.348,34.875,34.265,34.875,0,34.875
2016-08-03,42585,34.263,34.37,34.083,34.37,100,34.37
2016-08-02,42584,34.609,34.609,34.013,34.013,200,34.013
2016-08-01,42583,34.138,34.68,33.92,34.625,200,34.625
2016-07-29,42580,34.855,34.855,34.293,34.293,200,34.293
2016-07-28,42579,34.78,34.826,34.421,34.775,1100,34.775
2016-07-27,42578,35.198,35.281,34.939,34.96,1200,34.96
2016-07-26,42577,34.546,35.073,34.36,35.073,1200,35.073
2016-07-25,42576,36.8,37.36,34.722,34.722,3900,34.722
2016-07-22,42573,35.171,35.805,35.171,35.805,200,35.805
2016-07-21,42572,35.066,35.9,35.066,35.158,500,35.158
2016-07-20,42571,34.475,35.305,34.475,35.215,200,35.215
2016-07-19,42570,33.928,34.803,33.736,34.535,0,34.535
2016-07-18,42569,33.862,34.004,33.862,34.004,0,34.004
2016-07-15,42566,34.027,34.208,33.832,34.095,800,34.095
2016-07-14,42565,33.816,34.045,33.805,34.045,0,34.045
2016-07-13,42564,34.065,34.229,33.79,33.905,0,33.905
2016-07-12,42563,34.153,34.438,34.065,34.25,500,34.25
2016-07-11,42562,33.823,34.118,33.81,34.118,0,34.118
2016-07-08,42559,33.686,34.074,33.686,34.065,0,34.065
2016-07-07,42558,33.698,34.072,33.698,33.86,200,33.86
2016-07-06,42557,33.824,33.824,33.568,33.712,0,33.712
2016-07-05,42556,33.872,33.872,33.67,33.67,200,33.67
2016-07-04,42555,33.845,34.032,33.845,34.032,500,34.032
2016-07-01,42552,33.713,34.08,33.543,34.08,300,34.08
2016-06-30,42551,33.196,33.825,33.196,33.825,0,33.825
2016-06-29,42550,32.576,33.295,32.56,33.295,0,33.295
